step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
26,-7.905647370648759,-3.3348066629770003,3.8908378741098204e-08,-17.062055587768555,0.0001816247240640223,-8.613568305969238,0.0006524999625980854,0.0,0.0,0.00018100500165019184
27,-7.9468378169973635,-3.302790348834352,3.891556232815674e-08,-17.061872482299805,0.00018152722623199224,-8.614105224609375,0.0008102079154923558,0.0,0.0,0.00018100500165019184
28,-7.88788841287377,-3.3668523602214364,3.8940278557220154e-08,-17.061237335205078,0.00018171385454479605,-8.613077163696289,0.0005995840765535831,0.0,0.0,0.00018100500165019184
29,-7.910715336238213,-3.3846312688311775,3.89866414707285e-08,-17.060047149658203,0.0001816273434087634,-8.613554000854492,0.0009541249601170421,0.0,0.0,0.00018100500165019184
30,-7.879518499994533,-3.3213139670697913,3.8890515696721195e-08,-17.062515258789062,0.00018184293003287166,-8.612367630004883,0.0006155410083010793,0.0,0.0,0.00018100500165019184
31,-7.94465654754241,-3.4213478998925777,3.913665125310217e-08,-17.05620574951172,0.0001818154560169205,-8.612518310546875,0.0005933749489486217,0.0,0.0,0.00018100500165019184
32,-7.902705385794343,-3.3215485631659316,3.8889478304326985e-08,-17.062541961669922,0.00018164594075642526,-8.61345100402832,0.0005534589290618896,0.0,0.0,0.00018100500165019184
33,-7.902175056161325,-3.4817722096988835,3.913456581017272e-08,-17.056259155273438,0.00018176063895225525,-8.61281967163086,0.0005680000176653266,0.0,0.0,0.00018100500165019184
34,-7.942315567664143,-3.38668669542116,3.905900669565199e-08,-17.05819320678711,0.00018169451504945755,-8.613183975219727,0.0005527090979740024,0.0,0.0,0.00018100500165019184
35,-7.8908225519493005,-3.398895686341639,3.8984111938589194e-08,-17.06011199951172,0.00018168757378589362,-8.613222122192383,0.0005742911016568542,0.0,0.0,0.00018100500165019184
