step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
15,-9.85402013008706,2.6439412776743576,3.855955554854518e-08,-17.071062088012695,0.00019403101759962738,-8.547492980957031,0.0004943329840898514,0.0,0.0,0.00019403101759962738
16,-11.928550683789595,2.3765081369440777,2.2513670216994797e-07,-15.306557655334473,0.0004355437122285366,-7.73891544342041,0.0004742919700220227,0.0,0.0,0.00019403101759962738
17,-10.502310928119101,2.5117442137906396,7.04100813209152e-08,-16.468929290771484,0.00026345354854129255,-8.241633415222168,0.0005478340899571776,0.0,0.0,0.00019403101759962738
18,-7.649831416778113,2.7822163674837634,1.2106845304060698e-07,-15.926909446716309,0.0003253771865274757,-8.030525207519531,0.0005047080339863896,0.0,0.0,0.00019403101759962738
19,-9.789191050283854,2.5793622522139206,3.726430719552809e-08,-17.1052303314209,0.00018998295126948506,-8.568575859069824,0.000488333054818213,0.0,0.0,0.00018998295126948506
20,-11.345088965560755,2.5732842262882327,1.4504152545669058e-07,-15.746245384216309,0.0003609586856327951,-7.926746845245361,0.0004755409900099039,0.0,0.0,0.00018998295126948506
21,-9.059863902497806,2.6308355342720926,3.4540832416496414e-08,-17.181123733520508,0.00018271699082106352,-8.607572555541992,0.0004753749817609787,0.0,0.0,0.00018271699082106352
22,-8.9950348226946,2.5662565088116556,3.5589142299841114e-08,-17.151226043701172,0.00018616768647916615,-8.588862419128418,0.0005932500353083014,0.0,0.0,0.00018271699082106352
23,-8.265707674908555,2.617729790869827,6.674135732964714e-08,-16.522441864013672,0.00025437824660912156,-8.276688575744629,0.0005189171060919762,0.0,0.0,0.00018271699082106352
24,-9.40832020644003,2.588954136877897,3.193897413211744e-08,-17.25943946838379,0.0001720372965792194,-8.66779899597168,0.0006285000126808882,0.0,0.0,0.0001720372965792194
25,-9.473149286243233,2.653533162338334,3.2087278611925285e-08,-17.254806518554688,0.00017262392793782055,-8.664395332336426,0.000533584039658308,0.0,0.0,0.0001720372965792194
26,-9.821605590185456,2.6116517649441384,3.789180880175991e-08,-17.088531494140625,0.00019196944776922464,-8.558174133300781,0.0005120839923620224,0.0,0.0,0.0001720372965792194
27,-9.250299324419718,2.626039591940104,3.220905142597985e-08,-17.251018524169922,0.0001737919810693711,-8.657651901245117,0.0005818749777972698,0.0,0.0,0.0001720372965792194
28,-9.631170168263544,2.616447707276127,3.3890113826373636e-08,-17.20014190673828,0.00017889670561999083,-8.628702163696289,0.0005968330660834908,0.0,0.0,0.0001720372965792194
29,-9.345517035380674,2.6236416207741096,3.183728480848913e-08,-17.26262855529785,0.00017198453133460134,-8.668106079101562,0.0005231669638305902,0.0,0.0,0.00017198453133460134
30,-9.280687955577472,2.5590625953136734,3.204745979701329e-08,-17.25604820251465,0.00017283382476307452,-8.663180351257324,0.0005269580287858844,0.0,0.0,0.00017198453133460134
31,-9.425033953576794,2.629915520582169,3.191616215758586e-08,-17.26015281677246,0.00017203002062160522,-8.667841911315918,0.0005110419588163495,0.0,0.0,0.00017198453133460134
32,-9.362230782517438,2.6646030044783813,3.178166707584751e-08,-17.264375686645508,0.0001718438434181735,-8.668924331665039,0.0004990410525351763,0.0,0.0,0.0001718438434181735
33,-9.339186070556142,2.7024274382786233,3.1786292709057307e-08,-17.264230728149414,0.00017207677592523396,-8.667570114135742,0.0005231669638305902,0.0,0.0,0.0001718438434181735
34,-9.282713864321316,2.6583291046703215,3.201934717367294e-08,-17.256925582885742,0.00017304750508628786,-8.661944389343262,0.000491208047606051,0.0,0.0,0.0001718438434181735
35,-9.389453931262924,2.637018916604207,3.182294605608149e-08,-17.263078689575195,0.000171811887412332,-8.669110298156738,0.0004886250244453549,0.0,0.0,0.000171811887412332
